user_id,country,age,subscription_type,signup_date,subscription_status,months_inactive,inactive_3_months_flag,ad_interaction,ad_conversion_to_subscription,music_suggestion_rating_1_to_5,avg_listening_hours_per_week,favorite_genre,most_liked_feature,desired_future_feature,primary_device,playlists_created,avg_skips_per_day,,
1,France,25,Premium Duo,19-08-2021,Active,0,0,No,No,4,10.13,Bollywood,Radio,Concert Alerts,Tablet,7,8,,
2,Indonesia,20,Premium Family,06-06-2022,Active,0,0,Yes,No,5,11.63,Latin,Podcasts,Lyrics Translation,Mobile,7,6,,
3,Italy,53,Premium Individual,04-01-2024,Active,0,0,Yes,Yes,3,9.5,Bollywood,Lyrics,Better AI Recommendations,Desktop,6,5,,
4,Italy,48,Premium Individual,26-08-2018,Active,1,0,No,No,4,13.16,Electronic,Playlists,Social Listening,Smart Speaker,11,8,,
5,Australia,18,Free,29-05-2020,Active,0,0,No,No,4,12.7,Indie,Daily Mix,Lyrics Translation,Tablet,10,11,,
6,France,43,Premium Duo,19-12-2018,Active,0,0,No,No,4,12.51,Electronic,AI DJ,Better AI Recommendations,Car System,3,10,,
7,Italy,21,Student,09-09-2022,Active,3,1,Yes,Yes,4,8.61,Bollywood,Daily Mix,HiFi Audio,Tablet,13,8,,
8,India,43,Free,07-03-2024,Active,1,0,No,No,5,8.14,Pop,Daily Mix,Social Listening,Mobile,5,16,,
9,Germany,52,Premium Family,31-08-2018,Active,2,0,No,No,5,7.53,Latin,Discover Weekly,Concert Alerts,Mobile,10,21,,
10,India,56,Premium Duo,23-05-2019,Active,1,0,Yes,No,5,8.55,Rock,Playlists,Mood-based Auto Playlists,Tablet,12,17,,
11,Germany,53,Free,13-01-2025,Active,1,0,No,No,5,15.16,Classical,Playlists,Lyrics Translation,Car System,8,13,,
12,Italy,52,Premium Individual,11-09-2018,Active,3,1,No,No,4,12.7,Country,Discover Weekly,Concert Alerts,Mobile,9,10,,
13,UK,41,Premium Duo,26-07-2024,Active,0,0,No,No,5,3.27,K-Pop,Offline Mode,Lyrics Translation,Desktop,8,9,,
14,Italy,18,Premium Family,23-07-2018,Active,0,0,Yes,No,5,14.06,R&B,Lyrics,Concert Alerts,Mobile,11,9,,
15,Germany,34,Premium Individual,30-03-2024,Active,0,0,Yes,No,1,11.23,Jazz,Radio,Mood-based Auto Playlists,Mobile,11,13,,
16,Brazil,23,Free,13-09-2022,Active,1,0,Yes,Yes,5,10.34,Pop,Playlists,Concert Alerts,Smart Speaker,3,12,,
17,Australia,35,Student,27-05-2024,Active,0,0,No,No,4,7.99,Pop,AI DJ,Concert Alerts,Tablet,10,8,,
18,India,59,Premium Family,13-04-2024,Active,0,0,No,No,4,11.24,Pop,Discover Weekly,HiFi Audio,Tablet,4,10,,
19,Indonesia,52,Student,11-01-2020,Active,1,0,Yes,Yes,4,4.63,Latin,Radio,Better AI Recommendations,Mobile,12,10,,
20,Brazil,28,Free,01-03-2025,Active,0,0,No,No,2,13.54,Latin,Daily Mix,HiFi Audio,Smart Speaker,12,9,,
21,Canada,20,Student,06-03-2022,Active,8,1,Yes,Yes,4,13.48,K-Pop,Playlists,Lyrics Translation,Tablet,7,11,,
22,Mexico,19,Student,30-04-2024,Active,1,0,No,No,2,8.74,Latin,Playlists,Lyrics Translation,Smart Speaker,9,9,,
23,Canada,59,Premium Duo,10-12-2024,Inactive,8,1,Yes,Yes,4,7.09,Pop,Lyrics,Better AI Recommendations,Tablet,9,6,,
24,France,36,Premium Family,18-12-2023,Inactive,3,1,Yes,No,5,9.06,Jazz,Podcasts,HiFi Audio,Tablet,9,14,,
25,Canada,53,Premium Individual,23-03-2023,Active,0,0,No,No,1,5.68,Hip-Hop,AI DJ,Social Listening,Car System,4,6,,
26,UK,31,Free,31-01-2023,Active,1,0,Yes,No,4,4.48,Bollywood,Playlists,Better AI Recommendations,Car System,9,10,,
27,Indonesia,60,Premium Duo,07-01-2020,Inactive,3,1,No,No,3,10.52,Latin,Playlists,Social Listening,Car System,7,20,,
28,India,21,Student,26-09-2020,Active,1,0,No,No,4,10.94,Bollywood,Radio,Better AI Recommendations,Car System,9,13,,
29,USA,47,Premium Duo,10-06-2024,Active,0,0,Yes,No,3,10.37,Hip-Hop,Lyrics,Mood-based Auto Playlists,Car System,9,12,,
30,Spain,34,Free,07-11-2021,Active,0,0,Yes,No,5,8.27,Bollywood,Podcasts,Concert Alerts,Smart Speaker,8,8,,
31,Spain,20,Premium Individual,30-10-2024,Active,0,0,No,No,4,9.08,Indie,Offline Mode,HiFi Audio,Mobile,5,12,,
32,USA,48,Free,29-04-2019,Active,1,0,No,No,3,13.98,Bollywood,Playlists,Social Listening,Car System,8,6,,
33,Mexico,26,Free,09-09-2022,Active,1,0,No,No,5,6.49,K-Pop,AI DJ,Better AI Recommendations,Smart Speaker,8,7,,
34,Italy,25,Free,02-11-2021,Active,1,0,No,No,3,2.88,Latin,Playlists,Mood-based Auto Playlists,Tablet,7,10,,
35,Brazil,42,Free,26-06-2023,Active,0,0,No,No,1,13.78,Rock,AI DJ,HiFi Audio,Mobile,7,8,,
36,Italy,58,Free,10-06-2018,Active,1,0,No,No,5,4.22,Jazz,Radio,HiFi Audio,Mobile,12,13,,
37,Italy,52,Premium Individual,14-11-2018,Active,0,0,Yes,No,3,17.59,Electronic,Radio,Concert Alerts,Mobile,13,12,,
38,Germany,37,Free,09-07-2021,Active,1,0,No,No,3,13.59,Bollywood,Discover Weekly,Mood-based Auto Playlists,Desktop,7,13,,
39,France,47,Free,18-10-2025,Active,1,0,Yes,No,3,8.95,Country,Discover Weekly,Mood-based Auto Playlists,Smart Speaker,4,12,,
40,Indonesia,45,Premium Duo,03-07-2024,Active,0,0,No,No,3,19.26,Pop,Playlists,Mood-based Auto Playlists,Desktop,14,10,,
41,India,21,Premium Duo,09-10-2018,Active,0,0,No,No,3,13.63,Classical,AI DJ,Better AI Recommendations,Mobile,6,9,,
42,USA,58,Free,10-01-2021,Active,2,0,Yes,No,5,14.33,R&B,Daily Mix,Mood-based Auto Playlists,Smart Speaker,8,10,,
43,India,19,Premium Individual,24-09-2018,Active,0,0,No,No,4,15.54,Classical,Daily Mix,HiFi Audio,Tablet,15,13,,
44,Canada,52,Free,13-11-2025,Active,0,0,Yes,No,5,9.82,Latin,Playlists,Lyrics Translation,Car System,12,9,,
45,France,44,Premium Family,22-08-2025,Active,2,0,No,No,3,5.46,Jazz,Radio,HiFi Audio,Tablet,9,10,,
46,Australia,58,Premium Individual,11-03-2021,Active,2,0,Yes,No,4,11.99,Latin,AI DJ,HiFi Audio,Car System,5,15,,
47,USA,17,Premium Duo,22-11-2021,Active,2,0,No,No,3,4.54,Pop,Daily Mix,HiFi Audio,Car System,4,12,,
